Age,Workclass,Final Weight,EducationNum,Occupation,Capital Gain,capital loss,Hours per Week,Native Country,Income
35, Private,283305,13, Exec-managerial,0,0,40, United-States,0
63, Self-emp-not-inc,194638,9, Craft-repair,0,0,32, United-States,0
36, Private,33001,9, Farming-fishing,0,0,50, United-States,0
48, Self-emp-inc,184787,4, Craft-repair,0,0,50, United-States,1
31, Self-emp-not-inc,216283,12, Other-service,0,0,35, United-States,1
20, Private,232577,10, Other-service,0,0,40, United-States,0
42, Self-emp-not-inc,101709,11, Craft-repair,2885,0,40, United-States,0
35, Self-emp-inc,153976,9, Exec-managerial,0,0,60, United-States,0
62, Private,176839,13, Tech-support,0,0,38, United-States,0
64, Federal-gov,271550,10, Transport-moving,0,0,40, United-States,1
27, Private,77774,9, Machine-op-inspct,0,0,34, United-States,0
24, Private,88126,9, Craft-repair,0,0,40, United-States,0
65, Self-emp-inc,178771,9, Exec-managerial,0,0,40, United-States,0
45, Private,221780,10, Handlers-cleaners,0,0,30, United-States,0
28, ?,291374,9, ?,0,0,30, United-States,0
59, Private,175689,10, Adm-clerical,0,0,14, Cuba,1
48, Private,169324,9, Other-service,0,0,32, Haiti,0
42, Private,190179,13, Prof-specialty,99999,0,40, United-States,1
41, Private,118853,10, Sales,0,0,40, United-States,0
25, Local-gov,169905,10, Farming-fishing,0,0,40, United-States,0
58, Private,140363,9, Machine-op-inspct,3325,0,30, United-States,0
51, Private,122288,10, Machine-op-inspct,0,0,36, United-States,0
49, Private,31267,4, Craft-repair,0,0,40, United-States,0
31, Private,59496,10, Adm-clerical,0,0,50, United-States,0
29, Private,285290,7, Other-service,0,0,40, United-States,0
30, Self-emp-not-inc,116666,14, Prof-specialty,0,0,50, India,1
40, Private,182140,9, Transport-moving,0,0,40, United-States,0
23, Private,218899,13, Sales,0,0,60, United-States,0
20, Private,216972,9, Sales,0,0,30, United-States,0
44, Private,216907,12, Craft-repair,0,1848,40, United-States,1
37, Self-emp-not-inc,348960,12, Transport-moving,0,0,50, United-States,1
44, Private,201723,13, Exec-managerial,15024,0,45, United-States,1
27, Private,200641,6, Exec-managerial,0,0,40, Mexico,0
36, Private,342642,14, Exec-managerial,0,0,15, United-States,0
27, Private,100168,4, Other-service,0,0,40, United-States,0
22, Private,205939,13, Exec-managerial,2202,0,4, United-States,0
36, Local-gov,126569,10, Protective-serv,0,0,40, United-States,1
30, Self-emp-inc,204470,10, Exec-managerial,0,0,36, United-States,1
31, Private,159737,6, Adm-clerical,0,0,40, United-States,0
27, Private,50132,10, Sales,0,0,50, United-States,0
39, Private,186420,9, Adm-clerical,0,0,40, United-States,0
42, Private,177989,9, Craft-repair,0,0,40, United-States,0
26, Private,206600,7, Other-service,0,0,30, Mexico,0
45, Private,34248,9, Sales,0,0,50, United-States,0
49, Private,133729,10, Other-service,0,0,17, United-States,0
18, Private,378707,6, Sales,0,0,20, United-States,0
51, Private,152810,9, Prof-specialty,0,0,40, United-States,1
66, Private,101607,9, Machine-op-inspct,0,0,10, United-States,0
47, Local-gov,352614,12, Protective-serv,0,0,40, United-States,1
55, Private,227158,13, Adm-clerical,0,0,40, United-States,0
27, State-gov,365916,12, Exec-managerial,0,0,58, United-States,0
75, ?,125784,10, ?,0,0,8, United-States,0
24, Private,96178,13, Adm-clerical,0,0,40, United-States,0
32, Private,97723,10, Craft-repair,0,0,38, United-States,0
60, Private,135470,3, Craft-repair,0,0,40, Mexico,0
28, Private,535978,10, Craft-repair,0,0,40, United-States,1
34, Private,34374,10, Other-service,0,0,50, United-States,0
77, Self-emp-not-inc,209507,10, Craft-repair,0,0,40, United-States,0
25, ?,202480,12, ?,0,0,45, United-States,0
45, Private,179659,13, Craft-repair,3103,0,40, United-States,1
75, Private,256474,14, Protective-serv,0,0,16, United-States,0
52, ?,271749,8, ?,594,0,40, United-States,0
30, Self-emp-not-inc,117944,9, Prof-specialty,0,0,25, United-States,0
34, Self-emp-inc,174215,14, Exec-managerial,4787,0,45, France,1
64, State-gov,264544,14, Prof-specialty,0,0,5, United-States,1
29, Self-emp-not-inc,322238,9, Farming-fishing,0,0,40, United-States,0
29, Private,104256,9, Sales,0,0,34, United-States,0
35, Private,82552,12, Tech-support,0,0,40, United-States,0
35, Private,194960,9, Farming-fishing,0,0,40, Puerto-Rico,0
29, Private,253752,6, Farming-fishing,0,0,40, United-States,0
20, Private,653574,10, Other-service,0,0,33, El-Salvador,0
46, Private,86220,13, Sales,0,0,40, United-States,0
23, Private,179423,13, Adm-clerical,0,0,5, United-States,0
60, ?,290593,14, ?,0,0,40, United-States,0
25, Self-emp-not-inc,37741,13, Exec-managerial,0,0,40, United-States,0
27, Self-emp-not-inc,404998,11, Craft-repair,0,0,40, United-States,0
24, Private,417668,13, Prof-specialty,0,0,30, United-States,0
81, Private,364099,10, Adm-clerical,0,0,20, United-States,0
30, Private,108247,13, Prof-specialty,0,0,40, United-States,1
43, Private,151089,10, Transport-moving,0,0,50, United-States,0
50, Private,35224,9, Craft-repair,0,0,40, United-States,0
60, Local-gov,138502,13, Protective-serv,7298,0,48, United-States,1
57, Self-emp-not-inc,275943,4, Prof-specialty,0,0,40, ?,0
20, Private,190423,10, Other-service,0,0,20, United-States,0
41, Private,96741,12, Sales,0,0,40, United-States,0
42, Private,37869,10, Craft-repair,0,0,40, United-States,0
38, Private,197711,6, Machine-op-inspct,0,0,40, Portugal,0
31, State-gov,301526,10, Other-service,0,0,40, United-States,0
31, Private,51471,9, Adm-clerical,0,0,38, United-States,0
61, ?,72886,9, ?,0,0,38, United-States,1
47, State-gov,160045,10, Adm-clerical,0,0,40, United-States,0
32, Private,210562,11, Craft-repair,0,0,46, United-States,0
20, Private,100605,9, Sales,0,0,40, Puerto-Rico,0
52, ?,244214,9, ?,0,0,35, United-States,0
43, Private,130126,13, Exec-managerial,15024,0,50, United-States,1
44, Private,191814,10, Prof-specialty,0,0,45, United-States,1
21, Private,248512,10, Adm-clerical,0,0,40, United-States,0
72, ?,75890,10, ?,0,0,4, United-States,0
37, Self-emp-not-inc,348739,15, Prof-specialty,0,0,50, United-States,1
21, Private,108687,10, Sales,0,0,40, United-States,0
44, Private,175641,7, Sales,0,0,40, United-States,1
70, Private,35494,9, Exec-managerial,0,0,30, United-States,0
38, Private,186934,10, Craft-repair,0,0,45, United-States,0
61, Private,128848,9, Machine-op-inspct,3471,0,40, United-States,0
54, Private,227832,10, Adm-clerical,0,0,40, United-States,0
53, Self-emp-not-inc,88506,13, Prof-specialty,0,0,40, United-States,0
44, Private,192225,13, Exec-managerial,0,0,40, United-States,1
57, Private,127277,16, Prof-specialty,0,0,40, Taiwan,1
26, Self-emp-inc,176981,13, Adm-clerical,0,0,50, United-States,0
22, Private,103277,10, Adm-clerical,0,0,20, United-States,0
58, Self-emp-inc,258883,13, Prof-specialty,0,0,60, United-States,1
74, Federal-gov,181508,9, Other-service,0,0,17, United-States,0
53, State-gov,197184,14, Exec-managerial,0,0,70, United-States,1
45, Self-emp-inc,191776,14, Sales,25236,0,42, United-States,1
60, Private,120067,5, Farming-fishing,0,0,45, United-States,0
32, Private,53206,13, Craft-repair,0,0,50, United-States,1
36, Private,137314,11, Tech-support,0,0,45, United-States,0
36, Private,30267,9, Transport-moving,0,0,50, United-States,0
50, Private,222020,9, Craft-repair,0,0,40, United-States,0
42, Self-emp-not-inc,27821,11, Exec-managerial,0,0,60, United-States,0
25, Private,148300,13, Prof-specialty,0,0,15, United-States,0
56, Self-emp-not-inc,26716,13, Exec-managerial,0,0,20, United-States,1
23, Private,398904,13, Prof-specialty,0,0,40, United-States,0
25, Private,255849,9, Adm-clerical,0,0,40, United-States,0
65, Self-emp-inc,184965,16, Exec-managerial,99999,0,40, United-States,1
24, Private,233777,10, Sales,0,0,50, Mexico,0
46, Federal-gov,340718,7, Adm-clerical,0,0,40, United-States,0
30, Private,235124,9, Transport-moving,99999,0,40, United-States,1
52, Private,67090,9, Sales,0,0,44, United-States,0
76, Private,98695,10, Adm-clerical,0,0,20, United-States,0
24, Private,111450,9, Transport-moving,0,0,40, United-States,0
35, Private,101387,9, Sales,0,0,50, United-States,0
26, Local-gov,159662,6, Other-service,0,0,40, United-States,0
48, State-gov,31141,10, Protective-serv,0,1902,40, United-States,1
44, Private,198282,13, Exec-managerial,15024,0,60, United-States,1
54, Private,378747,6, Transport-moving,0,0,45, United-States,1
65, ?,123484,9, ?,0,0,25, United-States,0
35, Private,38948,10, Prof-specialty,0,0,40, United-States,1
36, Self-emp-not-inc,167691,10, Other-service,0,0,50, United-States,0
21, Private,247779,7, Sales,0,0,38, United-States,0
38, Private,277022,10, Adm-clerical,0,0,40, Columbia,0
38, Private,187264,9, Exec-managerial,0,0,55, United-States,0
26, Private,164938,9, Sales,0,0,40, United-States,0
35, Local-gov,107233,9, Adm-clerical,0,0,55, United-States,0
70, Private,102610,6, Handlers-cleaners,0,0,32, United-States,0
46, Private,243190,9, Adm-clerical,7688,0,40, United-States,1
32, Private,286675,10, Exec-managerial,0,0,60, United-States,0
42, Private,156580,10, Machine-op-inspct,0,0,37, United-States,1
33, Local-gov,422718,9, Other-service,0,0,40, United-States,0
59, Private,184493,10, Sales,0,0,40, United-States,1
38, Private,275338,13, Sales,1151,0,40, United-States,0
40, Private,379919,10, Machine-op-inspct,0,0,40, United-States,0
28, Private,137898,12, Sales,0,0,35, United-States,0
49, Local-gov,98738,9, Craft-repair,0,0,40, United-States,1
46, Private,551962,9, Handlers-cleaners,0,0,50, Peru,0
54, Private,163894,10, Handlers-cleaners,0,0,40, United-States,0
22, ?,22966,10, ?,0,0,6, United-States,0
41, Local-gov,37848,9, Other-service,0,0,25, United-States,0
56, Self-emp-not-inc,73746,10, Exec-managerial,0,0,50, United-States,1
32, Private,271276,9, Transport-moving,0,0,80, United-States,1
46, Self-emp-inc,283004,11, Exec-managerial,0,0,63, Thailand,0
45, Private,162494,9, Sales,0,0,19, United-States,0
29, Private,32897,9, Other-service,0,0,25, United-States,0
61, State-gov,379885,16, Prof-specialty,0,1902,40, United-States,1
60, Private,187458,4, Craft-repair,0,0,40, United-States,0
61, State-gov,162678,3, Transport-moving,0,0,40, United-States,0
52, Private,131631,7, Machine-op-inspct,0,0,40, United-States,0
49, Self-emp-inc,109705,10, Exec-managerial,0,0,32, United-States,0
36, Private,102729,10, Craft-repair,0,0,40, United-States,0
30, Private,349148,13, Prof-specialty,0,0,70, United-States,0
24, Private,218215,11, Adm-clerical,0,0,20, United-States,0
45, Private,320192,2, Other-service,0,0,40, United-States,0
53, Self-emp-not-inc,105478,13, Exec-managerial,0,2415,40, United-States,1
20, Private,138107,9, Handlers-cleaners,0,0,35, United-States,0
55, Private,52953,9, Other-service,0,0,40, United-States,0
24, Self-emp-inc,165474,13, Sales,0,0,40, United-States,0
38, Private,215917,10, Sales,0,0,40, Philippines,0
44, Federal-gov,113597,10, Exec-managerial,0,0,55, United-States,1
23, Private,218343,12, Sales,0,0,40, United-States,0
30, Private,155343,9, Craft-repair,5013,0,40, United-States,0
34, Private,304030,9, Adm-clerical,0,0,40, United-States,0
60, Private,198170,10, Transport-moving,0,0,40, United-States,1
29, Private,107458,13, Sales,0,0,50, United-States,0
34, Private,104293,13, Adm-clerical,0,0,40, United-States,0
42, Private,259757,13, Prof-specialty,0,653,50, United-States,1
31, Private,29662,10, Sales,0,0,60, United-States,0
52, Private,206862,9, Craft-repair,0,0,40, United-States,0
27, Private,134890,13, Tech-support,0,0,50, United-States,0
26, Private,259505,10, Other-service,0,0,40, United-States,0
18, Private,302859,9, Sales,0,0,20, United-States,0
84, Private,188328,9, Prof-specialty,0,0,16, United-States,0
25, Private,281627,14, Prof-specialty,0,0,40, United-States,0
36, Self-emp-inc,37019,9, Farming-fishing,0,0,50, United-States,0
29, Private,349116,9, Sales,0,0,25, United-States,0
44, Private,124747,9, Exec-managerial,3103,0,40, United-States,1
27, Private,193898,13, Sales,0,0,45, United-States,1
18, Self-emp-not-inc,132986,9, Farming-fishing,0,0,40, United-States,0
51, Private,141645,10, Exec-managerial,0,0,40, United-States,0
31, Private,98639,9, Craft-repair,0,0,40, United-States,0
20, ?,81853,10, ?,0,0,15, United-States,0
58, Self-emp-not-inc,193434,9, Craft-repair,0,0,20, United-States,0
26, Private,258768,10, Transport-moving,2174,0,75, United-States,0
45, Local-gov,191776,14, Prof-specialty,0,0,40, United-States,0
31, Private,152156,9, Craft-repair,0,0,45, United-States,0
39, State-gov,114366,13, Prof-specialty,0,0,35, United-States,0
33, Private,202642,13, Prof-specialty,0,0,40, Jamaica,0
45, Private,178922,5, Other-service,0,0,15, United-States,0
54, Private,88278,16, Prof-specialty,0,1977,50, United-States,1
41, Private,168293,14, Exec-managerial,0,0,45, United-States,0
48, ?,61985,5, ?,0,0,20, United-States,0
52, Private,122109,9, Prof-specialty,0,323,40, United-States,0
30, Private,29662,12, Other-service,0,0,25, United-States,1
41, Private,320984,15, Prof-specialty,99999,0,65, United-States,1
46, Local-gov,329752,7, Transport-moving,0,0,30, United-States,0
34, Private,241360,9, Prof-specialty,0,0,40, ?,0
35, Self-emp-not-inc,194404,12, Farming-fishing,0,0,40, United-States,0
20, Private,164219,9, Handlers-cleaners,0,0,45, United-States,0
20, Private,88126,10, Adm-clerical,0,0,9, England,0
32, Self-emp-not-inc,112115,13, Prof-specialty,7688,0,40, United-States,1
18, Private,249857,10, Other-service,0,0,20, United-States,0
44, Private,67671,10, Handlers-cleaners,0,0,40, United-States,0
26, Private,523067,10, Prof-specialty,0,0,3, El-Salvador,0
37, Private,126675,9, Craft-repair,0,0,40, United-States,0
49, Private,142287,10, Adm-clerical,0,1902,50, United-States,1
37, ?,299090,9, ?,0,0,30, United-States,0
58, Private,519006,9, Craft-repair,0,0,52, United-States,0
72, Private,195184,9, Priv-house-serv,0,0,12, Cuba,0
45, Private,190482,11, Craft-repair,0,0,76, United-States,0
19, Private,27433,7, Handlers-cleaners,0,0,40, United-States,0
30, Private,75573,13, Exec-managerial,0,0,45, Germany,0
54, Local-gov,279452,9, Farming-fishing,0,0,40, United-States,0
54, Private,169785,10, Exec-managerial,0,0,40, Italy,0
35, Private,186489,5, Handlers-cleaners,0,0,46, United-States,0
46, Private,364548,13, Sales,8614,0,40, United-States,1
29, Local-gov,188909,13, Prof-specialty,0,0,42, United-States,0
72, ?,117017,9, ?,0,0,8, United-States,0
34, ?,164309,7, ?,0,0,8, United-States,0
25, Private,113099,9, Craft-repair,0,0,40, United-States,0
45, Private,44489,9, Transport-moving,0,0,45, United-States,0
49, Private,102583,10, Prof-specialty,0,1848,44, United-States,1
22, ?,228480,9, ?,0,0,20, United-States,0
41, Federal-gov,193882,9, Adm-clerical,0,0,40, United-States,0
34, Self-emp-not-inc,156809,10, Craft-repair,0,1504,60, United-States,0
53, Private,276515,13, Exec-managerial,0,0,40, Cuba,0
23, Private,159709,9, Craft-repair,0,0,40, United-States,0
25, Private,137645,13, Sales,0,0,40, United-States,0
27, Private,198286,10, Other-service,0,0,34, United-States,0
42, Private,310632,10, Craft-repair,0,0,40, United-States,1
35, Private,148015,13, Sales,0,0,40, United-States,0
26, Private,247025,9, Protective-serv,0,0,44, United-States,0
43, Private,163455,9, Craft-repair,0,0,40, United-States,1
44, Private,210525,10, Transport-moving,0,0,40, United-States,0
53, Private,178356,12, Exec-managerial,2407,0,99, United-States,0
45, Private,99179,7, Adm-clerical,0,0,40, United-States,0
55, Private,229029,13, Exec-managerial,15024,0,48, United-States,1
62, Self-emp-not-inc,71467,13, Craft-repair,0,0,55, United-States,1
17, Private,134480,7, Priv-house-serv,0,0,25, United-States,0
33, Private,117983,9, Adm-clerical,0,0,41, United-States,0
45, Private,474617,9, Sales,5455,0,40, United-States,0
31, State-gov,181824,13, Prof-specialty,0,1902,35, United-States,1
48, Private,34845,9, Craft-repair,0,0,40, United-States,0
25, Local-gov,476599,13, Prof-specialty,0,0,40, United-States,0
28, Private,109001,14, Prof-specialty,0,0,38, United-States,1
24, Private,94395,10, Craft-repair,0,0,40, United-States,0
20, Private,115057,9, Craft-repair,0,0,40, United-States,0
42, Private,110028,9, Craft-repair,0,0,40, United-States,0
46, Private,306183,9, Adm-clerical,0,0,37, United-States,0
65, Private,94552,10, Adm-clerical,0,0,40, United-States,0
44, Private,118550,9, Other-service,0,0,33, United-States,0
44, Private,240043,6, Adm-clerical,0,0,30, United-States,0
17, Private,369909,6, Other-service,0,0,20, United-States,0
27, Private,279608,3, Farming-fishing,0,0,40, Mexico,0
72, Without-pay,121004,9, Other-service,0,0,55, United-States,0
39, Private,198654,15, Prof-specialty,0,2415,67, India,1
24, ?,151153,10, ?,99999,0,50, South,1
60, Federal-gov,21876,10, Prof-specialty,0,0,40, United-States,0
48, Private,47686,7, Other-service,0,0,40, United-States,0
55, State-gov,181641,10, Prof-specialty,0,0,37, United-States,0
61, ?,187636,13, ?,0,0,40, United-States,0
17, Private,232900,7, Handlers-cleaners,0,0,25, United-States,0
55, Private,24694,10, Prof-specialty,0,0,40, United-States,0
34, Private,112212,9, Adm-clerical,0,1485,40, United-States,0
46, Private,72896,5, Machine-op-inspct,0,0,43, United-States,0
55, Private,105582,9, Handlers-cleaners,3103,0,40, United-States,1
36, Private,183612,9, Prof-specialty,0,1977,40, United-States,1
22, Private,83315,9, Adm-clerical,0,0,40, United-States,0
50, Private,217577,9, Machine-op-inspct,0,0,40, United-States,0
28, Private,33798,8, Transport-moving,0,0,50, United-States,0
53, Local-gov,164300,13, Adm-clerical,0,0,38, Dominican-Republic,0
49, Self-emp-not-inc,43479,10, Craft-repair,0,0,40, United-States,0
33, Self-emp-not-inc,295621,13, Prof-specialty,0,0,25, United-States,1
25, Private,169100,14, Exec-managerial,0,0,40, United-States,0
67, Private,222899,11, Prof-specialty,0,0,40, United-States,0
32, Private,248584,9, Farming-fishing,0,0,40, United-States,0
34, Private,66309,9, Craft-repair,0,0,35, United-States,0
21, Private,195532,9, Adm-clerical,0,0,40, United-States,0
29, State-gov,267989,13, Prof-specialty,0,0,50, United-States,1
24, Private,241523,9, Other-service,0,0,45, United-States,1
25, Private,122175,9, Handlers-cleaners,0,0,40, United-States,0
23, ?,86337,10, ?,0,0,15, United-States,0
37, Private,196529,10, Other-service,2354,0,40, ?,0
25, Private,60358,13, Exec-managerial,0,0,40, United-States,0
24, Private,201680,9, Craft-repair,0,0,40, United-States,0
31, Private,509364,3, Machine-op-inspct,0,0,45, Mexico,0
26, Private,29957,14, Tech-support,0,0,25, United-States,0
71, Private,105200,9, Protective-serv,6767,0,20, United-States,0
45, Private,331643,10, Craft-repair,0,0,40, United-States,1
18, Private,36275,9, Craft-repair,0,0,25, United-States,0
22, Private,460835,9, Craft-repair,0,0,55, United-States,0
53, Private,126592,10, Craft-repair,7688,0,40, United-States,1
17, ?,333100,6, ?,1055,0,30, United-States,0
49, Private,188694,13, Exec-managerial,0,0,40, United-States,1
21, Self-emp-not-inc,25631,10, Farming-fishing,0,0,40, United-States,0
58, Federal-gov,298643,9, Adm-clerical,0,0,40, United-States,0
27, Private,339956,9, Transport-moving,0,0,60, United-States,0
26, Private,104045,9, Other-service,0,0,30, United-States,0
19, Self-emp-not-inc,137578,9, Other-service,0,0,53, United-States,0
26, Private,156976,11, Other-service,0,0,40, United-States,0
47, State-gov,188386,14, Prof-specialty,0,0,38, United-States,0
55, Private,255364,10, Prof-specialty,0,0,40, United-States,0
56, Private,198388,9, Adm-clerical,0,0,40, United-States,0
63, Self-emp-not-inc,179981,10, Exec-managerial,0,0,60, United-States,1
39, Private,224566,13, Exec-managerial,0,0,60, United-States,1
43, Private,174575,10, Prof-specialty,0,0,45, United-States,0
47, Private,161676,7, Transport-moving,0,0,40, United-States,0
45, State-gov,36032,9, Protective-serv,0,0,40, United-States,0
23, Private,250743,10, Adm-clerical,0,0,40, United-States,0
47, Private,217161,9, Other-service,0,0,14, United-States,0
63, Private,163708,5, Other-service,0,0,20, United-States,0
42, Self-emp-not-inc,24763,16, Prof-specialty,15024,0,40, United-States,1
50, Private,177896,16, Prof-specialty,0,0,40, United-States,1
44, Self-emp-not-inc,155930,13, Exec-managerial,0,0,60, United-States,0
57, Private,375868,14, Adm-clerical,0,0,40, United-States,0
44, Private,116358,13, Sales,0,0,40, United-States,1
50, Private,237729,9, Sales,0,2444,72, United-States,1
42, Self-emp-not-inc,119207,9, Exec-managerial,0,0,48, United-States,0
37, Private,359131,9, Craft-repair,0,0,48, United-States,0
42, Private,180032,14, Prof-specialty,0,0,40, United-States,0
34, Private,118551,13, Tech-support,0,0,40, United-States,0
35, Private,37314,10, Craft-repair,5013,0,40, United-States,0
48, Private,118717,13, Prof-specialty,0,0,40, United-States,0
61, Private,119684,15, Prof-specialty,15024,0,20, United-States,1
26, Private,43408,13, Prof-specialty,0,0,40, United-States,0
55, Private,148773,6, Machine-op-inspct,0,0,40, United-States,0
50, Self-emp-inc,283676,16, Prof-specialty,15024,0,60, United-States,1
37, Private,329980,10, Craft-repair,0,0,40, United-States,0
47, Private,387468,10, Prof-specialty,0,0,40, Scotland,1
23, Private,199336,11, Craft-repair,0,0,50, United-States,0
30, Private,149427,9, Craft-repair,0,0,35, United-States,0
30, Private,423770,10, Prof-specialty,0,0,40, Mexico,0
25, Private,265618,9, Protective-serv,0,0,40, United-States,0
27, Private,59068,9, Handlers-cleaners,0,0,40, United-States,0
24, Private,229773,10, Craft-repair,0,0,35, United-States,0
27, ?,157624,9, ?,0,0,40, United-States,0
76, Private,142535,9, Adm-clerical,0,0,6, United-States,0
30, Private,287986,10, Handlers-cleaners,0,0,40, United-States,0
27, Private,232954,9, Sales,0,0,45, United-States,0
20, ?,358783,10, ?,0,0,35, United-States,0
44, State-gov,55395,9, Craft-repair,0,0,40, United-States,0
24, Private,182342,9, Handlers-cleaners,0,0,40, United-States,0
52, Self-emp-not-inc,162381,9, Sales,0,0,40, United-States,0
55, Local-gov,88856,4, Other-service,0,0,40, United-States,0
34, Private,506858,11, Craft-repair,0,0,32, United-States,1
47, Private,206659,10, Adm-clerical,0,0,40, United-States,0
22, Private,191342,13, Sales,0,0,50, Taiwan,0
43, Private,75742,10, Transport-moving,0,0,45, United-States,0
65, Self-emp-inc,210381,13, Exec-managerial,99999,0,65, United-States,1
51, Private,43354,7, Craft-repair,0,0,40, United-States,1
31, Private,420749,12, Craft-repair,0,0,40, United-States,1
31, Private,34572,13, Sales,0,0,55, United-States,0
31, Local-gov,127651,6, Transport-moving,0,1741,40, United-States,0
36, Private,184659,9, Machine-op-inspct,0,0,40, United-States,1
56, Self-emp-not-inc,210731,4, Sales,0,0,20, Mexico,0
28, Private,201175,7, Machine-op-inspct,0,0,40, United-States,0
51, Local-gov,166461,16, Prof-specialty,0,0,40, United-States,1
47, Self-emp-not-inc,249585,10, Craft-repair,0,0,30, United-States,0
36, Private,163396,11, Prof-specialty,0,0,40, United-States,1
25, Private,191782,7, Machine-op-inspct,0,0,40, United-States,0
32, State-gov,304212,9, Exec-managerial,0,0,50, United-States,0
32, Private,176185,10, Exec-managerial,0,0,60, United-States,0
25, Private,257310,9, Machine-op-inspct,0,0,40, United-States,0
36, Self-emp-not-inc,182898,13, Exec-managerial,7298,0,40, United-States,1
23, ?,148751,10, ?,0,0,35, United-States,0
34, ?,286689,14, ?,4650,0,30, United-States,0
17, Private,173807,7, Craft-repair,0,0,15, United-States,0
32, Private,117779,9, Transport-moving,0,0,35, United-States,0
39, Private,70995,13, Transport-moving,15024,0,99, United-States,1
69, ?,323016,13, ?,99999,0,40, United-States,1
19, Private,42069,9, Transport-moving,2176,0,45, United-States,0
43, Private,132393,9, Handlers-cleaners,0,0,40, Poland,0
30, Private,176175,11, Adm-clerical,0,0,24, United-States,0
25, Private,109419,9, Adm-clerical,0,0,40, United-States,0
40, Private,193494,9, Handlers-cleaners,0,0,46, United-States,0
24, Self-emp-not-inc,191954,4, Farming-fishing,0,0,50, United-States,0
32, Private,156464,9, Sales,0,1902,50, United-States,1
46, Local-gov,202560,13, Prof-specialty,0,1408,40, United-States,0
34, Private,102130,9, Sales,0,0,65, United-States,1
57, ?,300104,3, ?,7298,0,84, United-States,1
23, Self-emp-not-inc,409230,2, Sales,0,0,40, United-States,0
59, Private,189664,10, Sales,0,0,40, United-States,0
19, Private,277974,10, Sales,0,0,35, United-States,0
57, Private,195876,9, Craft-repair,0,0,40, United-States,0
38, Private,234901,14, Exec-managerial,0,1977,60, United-States,1
31, Private,193231,13, Tech-support,3325,0,60, United-States,0
23, Private,184665,9, Adm-clerical,0,0,50, United-States,0
33, Local-gov,194901,13, Prof-specialty,0,0,40, United-States,1
61, Private,190682,9, Craft-repair,0,1669,50, United-States,0
32, Private,164190,10, Exec-managerial,0,0,40, United-States,0
40, Private,73025,9, Other-service,0,0,30, China,0
57, Private,199934,13, Exec-managerial,0,0,40, United-States,1
41, Private,116493,9, Craft-repair,13550,0,44, United-States,1
49, Self-emp-inc,257764,9, Exec-managerial,0,0,40, United-States,0
21, Private,156807,9, Other-service,0,0,10, United-States,0
57, Self-emp-not-inc,152030,10, Sales,0,0,25, United-States,1
29, Private,350162,13, Exec-managerial,0,0,40, United-States,1
50, Self-emp-inc,100029,13, Sales,0,0,65, United-States,1
